ID,Category,Unit,Rubric,Translation,Question,Choices,Solution,Image,Tags
72,CHAPTER 02 주어의 이해,UNIT 08 명사구 주어,문장을 완성하라.,감정을 표현하는 것은 / 좋다 / 당신의 정신 건강에.,{{c1::To express feelings is good for your mental health.}},to / express / feelings / is / good / for / your mental health,,,
73,CHAPTER 02 주어의 이해,UNIT 08 명사구 주어,문장을 완성하라.,중요한 시험을 위해 벼락공부를 하는 것은 / 나쁜 생각인 것 같다!,{{c1::Cramming for an important exam seems like a bad idea}}!,cramming / for / an important exam / seems / like / a bad idea,,,
74,CHAPTER 02 주어의 이해,UNIT 08 명사구 주어,문장을 완성하라.,여러분 자신의 에세이를 큰 소리로 읽는 것은 / 여러분이 오류를 찾도록 도와줄 수 있습니다.,{{c1::To read your own essay aloud can help you find the errors.}},to read / your own essay / aloud / can / help / you / find / the errors,,,
75,CHAPTER 02 주어의 이해,UNIT 08 명사구 주어,문장을 완성하라.,알지 못하는 것은 / 나쁘다. 알고 싶어 하지 않는 것은 / 더 나쁘다.,{{c1::Not to know is bad. Not to wish to know is worse.}},not / to know / is / bad. / not / to wish / to know / is / worse,,,
76,CHAPTER 02 주어의 이해,UNIT 08 명사구 주어,문장을 완성하라.,다른 사람의 관점을 이해하려고 노력하는 것은 / 좋은 습관이다 (인생에 있어서).,{{c1::Trying to see the other person’s point of view is a good rule in life.}},trying / to / see / the other person’s point of view / is / a good rule / in / life,,,
77,CHAPTER 02 주어의 이해,UNIT 08 명사구 주어,문장을 완성하라.,새로운 가능성을 찾는 것은 / 탐구심을 갖고 / 필수적이다 / 성공적이 되는 데.,{{c1::Searching for new possibilities with an inquisitive mind is essential to be successful.}},searching for / new possibilities / with / an inquisitive mind / is / essential / to / be / successful,,,
78,CHAPTER 02 주어의 이해,UNIT 08 명사구 주어,문장을 완성하라.,충분한 수면을 취하지 않는 것은 / 일반적인 원인이다 (다크서틀의(눈 밑)).,{{c1::Not getting enough sleep is a common cause of dark circles under the eyes.}},not getting / enough sleep / is / a common cause / of / dark circles / under / the eyes,,,
79,CHAPTER 02 주어의 이해,UNIT 08 명사구 주어,문장을 완성하라.,사람들의 이름을 기억하는 것은 / 첫 번째 단계이다 (관계 형성을 향한).,{{c1::Remembering[To remember] people’s names is the first step towards relationship building.}},remembering[to remember] / people’s names / is / the first step / towards / relationship building,,,
80,CHAPTER 02 주어의 이해,UNIT 09 명사절 주어Ⅰ,문장을 완성하라.,우리가 다른 사람들에 대해 궁금해하는 것은 // 자연스러운 일이다.,{{c1::That we are curious about others is natural.}},that / we / are / curious / about / others / is / natural ,,,
81,CHAPTER 02 주어의 이해,UNIT 09 명사절 주어Ⅰ,문장을 완성하라.,네가 성공할 것인지 아닌지는 // 너의 의지에 달려 있다.,{{c1::Whether you will succeed or not depends on your will.}},whether / you / will / succeed or not / depends / on / your will,,,
82,CHAPTER 02 주어의 이해,UNIT 09 명사절 주어Ⅰ,문장을 완성하라.,언제 네안데르탈인이 멸종되었는지가 // 논의된다 / 이 학술지에서.,{{c1::When Neanderthals went extinct is discussed in this academic journal.}},when / Neanderthals / went / extinct / is / discussed / in / this academic journal,,,
83,CHAPTER 02 주어의 이해,UNIT 09 명사절 주어Ⅰ,문장을 완성하라.,당신이 어디에서 왔는지는 // 덜 중요하다 / 당신이 어디로 가고 있는지보다.,{{c1::Where you come from is less important than where you’re going.}},where / you / come from / is / less important / than / where / you / are going,,,
84,CHAPTER 02 주어의 이해,UNIT 09 명사절 주어Ⅰ,문장을 완성하라.,어떻게 당신이 당신의 상상력을 제어하고 사용하는지가 // 당신의 삶의 질에 영향을 미친다.,{{c1::How you control and use your imagination affects the quality of your life.}},how / you / control / and / use / your imagination / affects / the quality of your life,,,
85,CHAPTER 02 주어의 이해,UNIT 09 명사절 주어Ⅰ,문장을 완성하라.,"제안을 할 때는, / 왜 당신이 당신의 목적을 달성하고 싶은지가 // 명확하고 논리적이어야 한 다.","{{c1::In making a proposal, why you want to achieve your purpose should be clear and logical.}}",in making / a proposal / why / you / want to / achieve / your purpose / should / be / clear and logical,,,
86,CHAPTER 02 주어의 이해,UNIT 09 명사절 주어Ⅰ,문장을 완성하라.,기후가 어떻게 변해 왔는지는 // 매우 중요하다 / 현재의 지구온난화 추세를 가늠하는 데.,{{c1::How climate has changed is vital to assess current global warming trends.}},how / climate / has / changed / is / vital / to assess / current global warming trends,,,
87,CHAPTER 02 주어의 이해,UNIT 09 명사절 주어Ⅰ,문장을 완성하라.,당신이 부유한지 가난한지는 // 우리 우정에 영향을 미치지 않는다.,{{c1::Whether you are rich or poor does not affect our friendship.}},whether / you / are / rich or poor / does not / affect / our friendship,,,
88,CHAPTER 02 주어의 이해,UNIT 10 명사절 주어Ⅱ,문장을 완성하라.,누가 다음 대통령이 될지는 // 결정된다 / 유권자들에 의해.,{{c1::Who will be the next president is determined by voters.}},who / will / be / the next president / is / determined / by / voters,,,
89,CHAPTER 02 주어의 이해,UNIT 10 명사절 주어Ⅱ,문장을 완성하라.,누구의 아이디어가 채택될지는 // 기밀로 유지된다.,{{c1::Whose idea will be adopted remains confidential.}},whose / idea / will / be / adopted / remains / confidential,,,
90,CHAPTER 02 주어의 이해,UNIT 10 명사절 주어Ⅱ,문장을 완성하라.,무엇이 알츠하이머병을 유발하는지는 // 아직 정확히 알려지지 않았다.,{{c1::What causes Alzheimer’s Disease is not exactly known yet.}},what / causes / Alzheimer’s Disease / is / not / exactly / known / yet,,,
91,CHAPTER 02 주어의 이해,UNIT 10 명사절 주어Ⅱ,문장을 완성하라.,무엇이 높은 사회적 신분의 상징으로 여겨지는지는 // 문화마다 다를 것이다.,{{c1::What is considered a status symbol will differ among cultures.}},what / is / considered / a status symbol / will / differ / among / cultures,,,
92,CHAPTER 02 주어의 이해,UNIT 10 명사절 주어Ⅱ,문장을 완성하라.,우리가 무엇을 보는지는 // 주로 ~에 달려 있다 / 우리가 무엇을 찾는지에.,{{c1::What we see depends mainly on what we look for.}},what / we / see / depends mainly on / what / we look for,,,
93,CHAPTER 02 주어의 이해,UNIT 10 명사절 주어Ⅱ,문장을 완성하라.,"그 영화에서, / 주인공이 누구와 결혼하는지가 // 관객들을 흥미롭게 한다.","{{c1::In the movie, whom the main character marries interests the audience.}}",in the movie / whom / the main character / marries / interests / the audience,,,
